证券代码',最新公司全称_Lcomnm,会计期间',速动比率X1,利息保障倍数X2,权益乘数X3,固定资产周转率X4,总资产周转率X5,长期资本收益率X6,营业利润率X7,净利润现金含量X8,总资产增长率X9,FAIL
002420,广州毅昌科技股份有限公司,2014-12-31,1.2099,2.8636,2.2534,3.88193012434859,0.886421560448178,0.0505011559654006,0.1737,4.06412515273042,9.5806,1
002420,广州毅昌科技股份有限公司,2015-12-31,0.8249,2.248,2.441,4.11702017172513,0.916607169008525,0.0658742055317559,0.4478,0.774713918582595,10.8271,1
002420,广州毅昌科技股份有限公司,2016-12-31,0.8673,1.2751,2.4739,6.29125953633289,1.38684542730867,0.0437815069153564,-0.4594,23.266714030927,2.3438,1
002420,广州毅昌科技股份有限公司,2017-12-31,0.6444,-7.9817,3.451,6.76183966766584,1.38099341252796,-0.38345984840007,-10.2584,-0.0500543247922802,-0.5639,1
002420,广州毅昌科技股份有限公司,2018-12-31,0.4785,-14.2625,7.202,7.17456673850957,1.79380151284457,-0.579837386192332,-12.9639,-0.580089307823213,-33.8037,1
002427,浙江尤夫高新纤维股份有限公司,2011-12-31,2.2231,9.5871,1.2515,2.14071339682584,0.645868366082061,0.0589970804872328,3.5484,-3.98209736441384,5.0847,1
002427,浙江尤夫高新纤维股份有限公司,2012-12-31,0.5889,1.7573,1.8901,2.03125652748505,0.48927871774183,0.0251994763102432,-0.4041,-37.1571184039743,50.6836,1
002427,浙江尤夫高新纤维股份有限公司,2013-12-31,0.583,1.6196,2.5294,1.62120202428374,0.689251336362206,0.0294322978293868,0.9281,-13.6064331604043,36.7884,1
002427,浙江尤夫高新纤维股份有限公司,2014-12-31,0.6432,2.8199,2.2777,2.09153441206391,0.979256734971158,0.124134471187952,4.2368,4.18211111940846,-0.787,1
002427,浙江尤夫高新纤维股份有限公司,2015-12-31,1.344,4.1969,1.4235,1.60215211418058,0.653750833836774,0.10355121214696,6.023,2.73327286992682,21.1406,1
002427,浙江尤夫高新纤维股份有限公司,2016-12-31,0.7829,7.0194,2.3684,1.55991277173376,0.428895293757321,0.0889636039093693,8.2361,2.04583684574826,87.0199,1
002427,浙江尤夫高新纤维股份有限公司,2017-12-31,0.8304,3.4236,4.3756,2.65195575096637,0.646010877583382,0.2027211651462,9.6083,0.782678444946393,37.2139,1
002427,浙江尤夫高新纤维股份有限公司,2018-12-31,0.5319,-2.3179,8.4904,2.17635041502825,0.608027122209995,-0.246795355110915,-29.7537,0.378899088772793,-19.3288,1
002445,中南红文化集团股份有限公司,2010-12-31,3.3319,34.5462,1.2853,4.19160406859579,0.355392830676106,0.436381484773268,14.6981,0.144380504318987,110.9899,1
002445,中南红文化集团股份有限公司,2011-12-31,1.3731,20.3299,1.9824,5.76699778753058,0.337966451684182,0.358847056666289,13.7049,-1.09104592649804,62.4596,1
002445,中南红文化集团股份有限公司,2012-12-31,1.2441,4.283,2.1455,6.08139695285282,0.346106754282143,0.258237187428921,8.5123,-1.51040575308325,10.7054,1
002445,中南红文化集团股份有限公司,2015-12-31,0.9599,6.0349,1.6899,1.77411166361092,0.306231345143895,0.119408729892235,12.8028,1.4044831331519,45.4085,1
002445,中南红文化集团股份有限公司,2016-12-31,1.1014,3.7629,1.7143,2.17823556532003,0.212463726253101,0.0921915705781308,17.137,0.53861287590255,72.493,1
002445,中南红文化集团股份有限公司,2017-12-31,1.1183,3.4788,1.7873,2.6242243087229,0.196358566831665,0.0963513251781204,20.2798,0.586059342752959,23.2024,1
002445,中南红文化集团股份有限公司,2018-12-31,0.6727,-7.9331,2.3367,1.97643084690018,0.188368982103244,-0.689651163025496,-207.0033,-0.0717544137643035,-33.6978,1
002450,康得新复合材料集团股份有限公司,2010-12-31,5.0661,9.5059,1.2867,2.08627590449218,0.457763951808502,0.288377645060568,14.9671,1.55645161807727,105.1019,1
002450,康得新复合材料集团股份有限公司,2011-12-31,1.2099,7.5336,1.8047,5.20347114832442,0.803523077125953,0.277210669928599,10.7615,1.23157510076266,65.8463,1
002450,康得新复合材料集团股份有限公司,2012-12-31,2.3919,11.5721,1.8865,2.78245649481464,0.385882502279483,0.334318641473897,21.888,0.644176530157473,204.9208,1
