证券代码,企业名称,会计区间,速动比率 x1,利息保障倍数 x2,权益乘数 x3,固定资产周转率 x4,总资产周转率 x5,长期资本收益率 x6,营业利润率 x7,净利润现金含量 x8,总资产增长率 x9,FAIL
600817,1,2007/12/31,0.40756,13.04903,2.726951,47.159351,0.174437,0.133134,0.004213,-2.470452,-0.212273,3
600817,1,2008/12/31,0.076372,-99.729446,-1.880536,25.847546,0.081089,-4.642837,-25.076924,-2.470452,-0.248027,2
600817,1,2009/12/31,0.001138,-77.095355,-0.242938,3.285077,0.41022,-4.468027,-0.417507,-0.063919,-0.183941,1
601558,1,2010/12/31,0.7294,58.2872,5.9676,35.01096824,0.710032853,1.91205218,15.4157,-0.355911648,0.681626,1
601798,1,2011/12/31,2.636,8.2496,1.5021,2.301688708,0.316141432,0.254622926,18.6271,-0.961613126,0.647988,1
600006,东风汽车股份有限公司,42369,1.0922,35.6649,2.4802,5.299005993,0.834664057,0.042212019,1.1366,1.28553316,4.0057,0
600066,郑州宇通客车股份有限公司,42735,1.2544,124.7651,2.5699,7.900638597,1.019817091,0.613494395,12.2546,0.861053009,16.6384,0
600066,郑州宇通客车股份有限公司,43100,1.3058,13.2842,2.3174,8.341424111,0.918611254,0.472633261,10.8409,-0.552098224,2.8777,0
600066,郑州宇通客车股份有限公司,43465,1.3578,14.5184,2.1961,8.326030722,0.862681833,0.325123762,7.7742,1.107132753,1.752,0
600081,东风电子科技股份有限公司,40543,0.8981,15.8585,2.5671,7.563920735,1.378783159,0.415923613,10.7654,0.312572368,28.7873,0
600081,东风电子科技股份有限公司,40908,0.8289,12.2433,2.3973,6.345469643,1.266134914,0.270006116,7.7022,1.196877842,22.0155,0
600081,东风电子科技股份有限公司,41274,0.837,10.6272,2.0359,5.308268246,1.322651124,0.226032696,7.3223,2.054119217,-9.2998,0
600081,东风电子科技股份有限公司,41639,0.8114,16.0191,2.3935,6.242798656,1.16911916,0.224207386,7.8388,0.997254215,42.4164,0
600081,东风电子科技股份有限公司,42004,0.7975,27.6443,2.9352,5.058209551,1.155144104,0.287637401,6.2504,0.948978998,60.9277,0
600081,东风电子科技股份有限公司,42369,0.7794,24.1189,2.8095,4.280881861,1.12124881,0.185409173,6.2044,2.001766737,1.4112,0
600081,东风电子科技股份有限公司,42735,0.8463,30.3707,2.8506,4.536370823,1.103377538,0.155264186,5.1525,1.660427113,10.0337,0
600081,东风电子科技股份有限公司,43100,0.8812,35.578,3.0254,4.962786432,1.123341201,0.170928313,5.1531,2.192154499,14.7163,0
600081,东风电子科技股份有限公司,43465,0.9012,74.248,3.1146,5.269510594,1.138984782,0.168235692,5.3915,1.515175421,1.1013,0
600104,上海汽车集团股份有限公司,40543,0.9631,93.6384,2.7993,10.96672645,1.365505441,0.324981786,8.6176,1.093784392,65.6377,0
600104,上海汽车集团股份有限公司,40908,0.9967,1332.2804,2.3936,11.80368565,1.359229076,0.330226577,9.59,0.577580937,11.7836,0
600104,上海汽车集团股份有限公司,43100,0.8694,1393.9396,2.659,14.73513562,1.185816766,0.163089801,6.215,0.515770049,22.4853,0
600104,上海汽车集团股份有限公司,43465,0.952,162.7831,2.7493,12.82932645,1.133955539,0.165574619,5.9493,0.185429547,8.1871,0
